bar_length;angle_left_grad;angle_right_grad;height_profile;bar_code;bar_number;article_profile;qty_bar;qty_cut;marker_end_cut;bar_color;add_left_head;add_right_head;real_size
22730;45;45;1000;189341;1;557012;1;0;0;Belyj   ;1000;1000;20730
13030;45;45;1000;189351;1;557012;1;0;0;Belyj   ;1000;1000;11030
9180;45;45;1000;189372;1;557012;1;0;0;Belyj   ;1000;1000;7180
6130;45;45;1000;189357;1;557012;1;0;0;Belyj   ;1000;1000;4130
5280;45;45;1000;189354;1;557012;1;0;0;Belyj   ;1000;1000;3280
22830;45;45;1000;189383;4;557012;2;0;0;Belyj   ;1000;1000;20830
8880;45;45;1000;189379;3;557012;1;0;0;Belyj   ;1000;1000;6880
22580;45;45;1000;189379;1;557012;1;0;0;Belyj   ;1000;1000;20580
21130;45;45;1000;189385;2;557012;1;0;0;Belyj   ;1000;1000;19130
14530;45;45;1000;189356;1;557012;1;0;0;Belyj   ;1000;1000;12530
6130;45;45;1000;189357;1;557012;1;0;0;Belyj   ;1000;1000;4130
21130;45;45;1000;189385;3;557012;1;0;0;Belyj   ;1000;1000;19130
14530;45;45;1000;189356;1;557012;1;0;0;Belyj   ;1000;1000;12530
14130;45;45;1000;189359;1;557012;2;0;0;Belyj   ;1000;1000;12130
13830;45;45;1000;189383;2;557012;2;0;0;Belyj   ;1000;1000;11830
13630;45;45;1000;189341;3;557012;2;0;0;Belyj   ;1000;1000;11630
9180;45;45;1000;189372;1;557012;1;0;0;Belyj   ;1000;1000;7180
13630;45;45;1000;189341;4;557012;2;0;0;Belyj   ;1000;1000;11630
13330;45;45;1000;189357;1;557012;2;0;0;Belyj   ;1000;1000;11330
9180;45;45;1000;189372;2;557012;1;0;0;Belyj   ;1000;1000;7180
13030;45;45;1000;189354;1;557012;1;0;0;Belyj   ;1000;1000;11030
10730;45;45;1000;189337;1;557012;2;0;0;Belyj   ;1000;1000;8730
8880;45;45;1000;189379;3;557012;1;0;0;Belyj   ;1000;1000;6880
8730;45;45;1000;189372;2;557012;1;0;0;Belyj   ;1000;1000;6730
8530;45;45;1000;189341;3;557012;1;0;0;Belyj   ;1000;1000;6530
7410;45;45;1000;189383;2;557012;2;0;0;Belyj   ;1000;1000;5410
7130;45;45;1000;189341;1;557012;1;0;0;Belyj   ;1000;1000;5130
7030;45;45;1000;189379;1;557012;1;0;0;Belyj   ;1000;1000;5030
6930;45;45;1000;189337;1;557012;3;0;0;Belyj   ;1000;1000;4930
6810;45;45;1000;189356;1;557012;2;0;0;Belyj   ;1000;1000;4810
6730;45;45;1000;189359;1;557012;2;0;0;Belyj   ;1000;1000;4730
6630;45;45;1000;189383;4;557012;1;0;0;Belyj   ;1000;1000;4630
6560;45;45;1000;189372;1;557012;2;0;0;Belyj   ;1000;1000;4560
6460;45;45;1000;189341;4;557012;2;0;0;Belyj   ;1000;1000;4460
6330;45;45;1000;189379;3;557012;1;0;0;Belyj   ;1000;1000;4330
6330;45;45;1000;189379;3;557012;2;0;0;Belyj   ;1000;1000;4330
6030;45;45;1000;189385;2;557012;2;0;0;Belyj   ;1000;1000;4030
5080;45;45;1000;189351;1;557012;1;0;0;Belyj   ;1000;1000;3080
